	Water.content	Humus	Bare.sand	Leaves.twigs	Herb.cover	 Herb.height	Calamagrostis	Corynephorus	Tree.cover	Tree.height	Populus	Crataegus	Illuminance.grey.sky	Illuminance.cloudless.sky	Soil.reflection
Site1	10.3	5.3	0	0	85	5	50	0	0	0	0	0	18	68	50
Site2	21.1	9.7	0	5	95	50	80	0	25	4	0	1	7	6	5
Site3	12.9	6.5	0	0	99	20	30	0	0	0	0	0	15	43	40
Site4	14.5	4.8	0	0	100	50	100	0	0	0	0	0	12	16	20
Site5	20.4	6	0	0	100	30	90	0	0	0	0	0	3	16	10
Site6	29.4	12.3	10	30	30	40	10	0	70	0	0	0	4	3	2
Site7	24	8.3	0	0	100	30	90	0	0	0	0	0	21	21	10
Site8	13.8	5.4	0	70	30	30	10	0	75	5	4	2	3	3	2
Site9	12	5.1	0	0	25	2	0	20	0	0	0	0	25	56	30
Site10	9	4.4	50	0	20	3	0	20	0	0	0	0	26	60	40
Site11	9.2	4.5	0	0	40	10	0	30	0	0	0	0	19	50	40
Site12	9.9	4.4	0	0	55	3	2	50	0	0	0	0	19	60	40
Site13	33.7	13.2	5	5	90	30	80	0	0	0	0	0	12	33	30
Site14	21.9	7.8	0	0	95	20	20	0	12	0	0	1	10	10	3
Site15	26.3	5.7	0	80	20	30	0	0	45	6	2	2	2	3	2
Site16	20.7	6.8	0	99	1	30	0	0	85	5	2	0	1	2	1
Site17	28	9.4	0	85	20	40	0	0	40	0	3	0	3	5	3
Site18	22.7	9.5	0	80	20	30	0	0	80	5	1	2	2	5	3
Site19	18.6	6.9	0	90	4	20	0	0	50	4	2	1	1	4	1
Site20	22.4	8.1	0	98	1	25	0	0	75	6	2	1	1	3	1
Site21	19.6	5.8	0	95	5	35	0	0	50	6	2	1	2	3	1
Site22	3.5	1.6	25	0	1	20	2	2	0	0	0	0	19	67	50
Site23	3.3	1.4	20	0	25	20	2	20	0	0	0	0	17	57	60
Site24	5.2	2.1	25	0	20	10	2	20	0	0	0	0	18	55	55
Site25	6.2	2.1	35	0	60	45	1	0	50	0	0	0	2	5	10
Site26	2.7	1.1	90	0	5	3	0	10	0	0	0	0	19	37	80
Site27	2.6	1.6	10	0	30	4	0	20	0	0	0	0	19	56	40
Site28	2.6	2.2	30	0	30	2	0	30	0	0	0	0	19	54	40
